# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __x64_sys_openat() {
 0)               |    do_sys_openat2() {
 0)               |      getname() {
 0)               |        getname_flags.part.0() {
 0)               |          kmem_cache_alloc() {
 0)               |            __cond_resched() {
 0)   0.320 us    |              rcu_all_qs();
 0)   0.882 us    |            }
 0)   0.241 us    |            should_failslab();
 0)   2.554 us    |          }
 0)               |          __check_object_size() {
 0)               |            __check_object_size.part.0() {
 0)   0.250 us    |              check_stack_object();
 0)               |              __virt_addr_valid() {
 0)   0.241 us    |                rcu_read_unlock_strict();
 0)   0.761 us    |              }
 0)   0.251 us    |              __check_heap_object();
 0)   2.585 us    |            }
 0)   3.055 us    |          }
 0)   6.883 us    |        }
 0)   7.484 us    |      }
 0)               |      get_unused_fd_flags() {
 0)               |        alloc_fd() {
 0)   0.251 us    |          _raw_spin_lock();
 0)   0.271 us    |          expand_files();
 0)   1.352 us    |        }
 0)   1.933 us    |      }
 0)               |      do_filp_open() {
 0)               |        path_openat() {
 0)               |          alloc_empty_file() {
 0)               |            __alloc_file() {
 0)               |              kmem_cache_alloc() {
 0)               |                __cond_resched() {
 0)   0.311 us    |                  rcu_all_qs();
 0)   0.952 us    |                }
 0)   0.240 us    |                should_failslab();
 0)   0.240 us    |                rcu_read_unlock_strict();
 0)   0.240 us    |                rcu_read_unlock_strict();
 0)               |                obj_cgroup_charge() {
 0)               |                  obj_cgroup_charge_pages() {
 0)   0.240 us    |                    rcu_read_unlock_strict();
 0)   0.240 us    |                    rcu_read_unlock_strict();
 0)               |                    try_charge_memcg() {
 0)   0.240 us    |                      do_memsw_account();
 0)               |                      page_counter_try_charge() {
 0)   0.360 us    |                        propagate_protected_usage();
 0)   0.250 us    |                        propagate_protected_usage();
 0)   0.261 us    |                        propagate_protected_usage();
 0)   1.844 us    |                      }
 0)               |                      refill_stock() {
 0)               |                        drain_stock() {
 0)               |                          page_counter_uncharge() {
 0)               |                            page_counter_cancel() {
 0)   0.251 us    |                              propagate_protected_usage();
 0)   0.722 us    |                            }
 0)               |                            page_counter_cancel() {
 0)   0.240 us    |                              propagate_protected_usage();
 0)   0.712 us    |                            }
 0)               |                            page_counter_cancel() {
 0)   0.230 us    |                              propagate_protected_usage();
 0)   0.701 us    |                            }
 0)               |                            page_counter_cancel() {
 0)   0.240 us    |                              propagate_protected_usage();
 0)   0.701 us    |                            }
 0)   4.088 us    |                          }
 0)   0.241 us    |                          do_memsw_account();
 0)   0.240 us    |                          rcu_read_unlock_strict();
 0)   5.510 us    |                        }
 0)   0.231 us    |                        rcu_read_unlock_strict();
 0)   6.492 us    |                      }
 0)   9.659 us    |                    }
 0)   0.251 us    |                    rcu_read_unlock_strict();
 0) + 11.582 us   |                  }
 0)               |                  refill_obj_stock() {
 0)               |                    drain_obj_stock() {
 0)   0.251 us    |                      rcu_read_unlock_strict();
 0)   0.742 us    |                    }
 0)   0.240 us    |                    rcu_read_unlock_strict();
 0)               |                    obj_cgroup_uncharge_pages() {
 0)   0.241 us    |                      rcu_read_unlock_strict();
 0)   0.241 us    |                      rcu_read_unlock_strict();
 0)   0.260 us    |                      refill_stock();
 0)   0.230 us    |                      rcu_read_unlock_strict();
 0)   2.174 us    |                    }
 0)   4.138 us    |                  }
 0) + 16.481 us   |                }
 0)   0.240 us    |                rcu_read_unlock_strict();
 0)   0.311 us    |                mod_objcg_state();
 0)   0.241 us    |                rcu_read_unlock_strict();
 0) + 22.753 us   |              }
 0)               |              security_file_alloc() {
 0)               |                kmem_cache_alloc() {
 0)               |                  __cond_resched() {
 0)   0.240 us    |                    rcu_all_qs();
 0)   0.711 us    |                  }
 0)   0.240 us    |                  should_failslab();
 0)   2.004 us    |                }
 0)               |                apparmor_file_alloc_security() {
 0)               |                  __cond_resched() {
 0)   0.240 us    |                    rcu_all_qs();
 0)   0.712 us    |                  }
 0)   1.293 us    |                }
 0)   4.208 us    |              }
